Zeit,I1max,I2max,I3max
19.08.2017 15:30,8.87614,17.0752,12.9128
19.08.2017 15:40,10.9066,9.99079,17.9475
19.08.2017 15:50,11.1276,10.5293,11.9331
19.08.2017 16:00,8.49586,10.5911,12.5049
19.08.2017 16:10,7.96767,9.94269,9.53535
19.08.2017 16:20,12.2586,11.4107,13.5965
19.08.2017 16:30,9.98594,11.6463,8.36617
19.08.2017 16:40,2.52229,9.61585,7.39996
19.08.2017 16:50,11.5504,5.81537,9.52017
19.08.2017 17:00,12.4421,10.9426,15.7995
19.08.2017 17:10,9.37466,5.40669,13.0695
19.08.2017 17:20,12.6701,14.8547,13.8047
19.08.2017 17:30,14.4781,13.3527,11.5386
19.08.2017 17:40,20.8682,15.6211,17.894
19.08.2017 17:50,6.99198,16.4177,12.0473
19.08.2017 18:00,9.45683,9.83114,9.25257
19.08.2017 18:10,11.4443,10.2121,11.3358
19.08.2017 18:20,12.5653,10.3273,19.2714
19.08.2017 18:30,10.113,7.6864,15.7065
19.08.2017 18:40,9.19231,12.6689,15.5316
19.08.2017 18:50,10.6649,10.264,11.5791
19.08.2017 19:00,8.41811,9.03297,12.9978
19.08.2017 19:10,12.5857,10.5594,14.7081
19.08.2017 19:20,13.0299,9.60525,13.8339
19.08.2017 19:30,11.2418,3.1598,8.83703
19.08.2017 19:40,14.3343,17.0392,17.5633
19.08.2017 19:50,10.6079,9.16491,11.7305
19.08.2017 20:00,14.8843,11.3258,15.6278
19.08.2017 20:10,16.6289,9.77961,9.36753
19.08.2017 20:20,15.5564,8.79485,12.3998
19.08.2017 20:30,15.4031,8.07447,10.9604
19.08.2017 20:40,13.0645,9.11829,12.82
19.08.2017 20:50,9.2351,8.65734,14.9415
19.08.2017 21:00,12.9819,9.93741,10.9977
19.08.2017 21:10,6.13798,9.64443,17.9001
19.08.2017 21:20,8.06013,9.32018,16.4809
19.08.2017 21:30,11.9535,10.7392,12.7519
19.08.2017 21:40,7.0862,9.57392,13.7724
19.08.2017 21:50,13.2475,7.00081,18.2004
19.08.2017 22:00,10.1324,9.45872,16.3379
19.08.2017 22:10,8.61313,9.07854,19.741
19.08.2017 22:20,13.2299,3.12204,20.8912
19.08.2017 22:30,12.5944,13.2383,13.3381
19.08.2017 22:40,3.3187,10.7645,16.0283
19.08.2017 22:50,9.03097,8.57834,12.3571
19.08.2017 23:00,12.2939,8.90176,11.6961
19.08.2017 23:10,4.986,3.07421,8.48673
19.08.2017 23:20,10.1114,8.63852,12.9674
19.08.2017 23:30,8.23732,18.3478,13.5212
19.08.2017 23:40,7.01311,12.4562,9.52901
19.08.2017 23:50,3.72371,11.5617,9.66419
20.08.2017 00:00,7.47728,11.4326,11.9226
20.08.2017 00:10,11.1096,5.85042,11.4584
20.08.2017 00:20,13.1463,10.4993,11.1457
20.08.2017 00:30,2.529,4.17615,8.43263
20.08.2017 00:40,6.23824,9.08617,11.6249
20.08.2017 00:50,9.77187,9.0129,9.38333
20.08.2017 01:00,7.36674,4.02049,8.60401
20.08.2017 01:10,11.9982,10.4424,14.5728
20.08.2017 01:20,10.0168,8.85263,14.9842
20.08.2017 01:30,11.4336,8.38956,7.64621
20.08.2017 01:40,10.9393,9.0836,10.7406
20.08.2017 01:50,3.50883,9.21519,11.6809
20.08.2017 02:00,9.19956,4.24777,11.498
20.08.2017 02:10,1.30484,8.66735,9.04253
20.08.2017 02:20,9.67445,4.45832,8.74608
20.08.2017 02:30,3.42965,8.75644,10.9306
20.08.2017 02:40,11.4731,8.66291,10.1005
